"Pitt DMR SW KS", "DMR", "12.5", "449.800000", "444.800000", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "1", "HIGH", "No", "No", "No", "No", "Yes", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "KS", "K0USY MOTO", "1", "NONE", "1", "2"
"Pitt s1 g9", "DMR", "12.5", "449.800000", "444.800000", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "K0USY MOTO", "1", "NONE", "1", "1"
"Eldorado Analog", "FM", "12.5", "448.100000", "443.100000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Hillsboro Analog", "FM", "12.5", "447.500000", "442.500000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Wichita Analog", "FM", "12.5", "448.325000", "443.325000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"McPherson Analog", "FM", "12.5", "449.600000", "444.600000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Salina Analog", "FM", "12.5", "447.200000", "442.200000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Minneapolis A", "FM", "12.5", "449.850000", "444.850000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Ellsworth Analog", "FM", "12.5", "449.775000", "444.775000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Sterling Analog", "FM", "12.5", "449.450000", "444.450000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
